Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F1674,HKT7,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2011,Parana,Cantagalo,-25.2669,-52.06948
F1000,3271,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.553617,-51.480731
F1001,3038,F. cortaderiae,FGSC,FGSC,NIV,Wheat,2012,Parana,Roncador,-24.563053,-52.420769
F1002,2503,F. avenaceum,FTSC,FTSC,NA,Wheat,2012,Parana,Pinh‹o,-25.803111,-51.822575
F1003,2500,FFSC,FFSC,FFSC,NA,Wheat,2012,Parana,Pinh‹o,-25.803081,-51.828061
F1004,3037,FFSC,FFSC,FFSC,NA,Wheat,2012,Parana,Roncador,-24.56671,-52.40699
F1005,3025,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Turvo,-24.964517,-51.479883
F1011,2495,F. poae,F. poae,F. poae,NA,Wheat,2012,Parana,Guarapuava,-25.42308,-51.65545
F1013,2496,F. poae,F. poae,F. poae,NA,Wheat,2012,Parana,Guarapuava,-25.226989,-51.869961
F1014,2498,F. cortaderiae,FGSC,FGSC,3-ADON,Wheat,2012,Parana,Pinh‹o,-25.807414,-51.822606
F1016,3017,FFSC,FFSC,FFSC,NA,Wheat ,2012,Parana,Cantagalo,-25.279678,-52.075917
F1017,3287,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.434847,-51.760489
F1018,3285,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.434694,-51.763256
F1019,3280,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.552897,-51.480269
F1022,3260,FIESC ,FIESC,FIESC,NA,Wheat,2012,Parana,Guarapuava,-25.382094,-51.569033
F1023,3256,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.383647,-51.570031
F1024,3255,FFSC,FFSC,FFSC,NA,Wheat,2012,Parana,Guarapuava,-25.383639,-51.572008
F1025,3254,F. cortaderiae,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.383631,-51.573986
F1026,3251,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.385214,-51.567069
F1027,3203,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.429842,-51.655197
F1028,3201,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.521314,-51.680919
F1030,3197,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.524967,-51.674969
F1031,3196,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.524386,-51.676894
F1032,3213,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.426219,-51.657475
F1033,3212,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.426211,-51.659006
F1034,3210,FIESC ,FIESC,FIESC,NA,Barley,2012,Parana,Guarapuava,-25.427119,-51.655281
F1035,3205,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.428633,-51.655956
F1036,3204,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.42985,-51.653664
F1044,3242,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.558489,-51.58215
F1047,2514,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.327236,-51.455644
