Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F1073,3604,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Pinh‹o,-25.680244,-51.700125
F1074,3603,FIESC ,FIESC,FIESC,NA,Wheat,2013,Parana,Pinh‹o,-25.681442,-51.695522
F1096,3586,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Turvo,-24.963242,-51.501478
F1097,3569,F. avenaceum,FTSC,FTSC,NA,Wheat,2013,Parana,Guarapuava,-25.549772,-51.490722
F1099,3592,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Pinh‹o,-25.688503,-51.699044
F1100,3600,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Pinh‹o,-25.684242,-51.696297
F1150,3672,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Campina do Sim‹o,-25.220906,-51.861317
F1159,3704,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.565964,-51.578608
F1225,3623,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.211033,-51.641508
F1226,3617,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Foz do Jord‹o,-25.633308,-52.095189
F1227,3614,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Foz do Jord‹o,-25.637717,-52.092436
F1228,3612,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Foz do Jord‹o,-25.639897,-52.093853
F1247,3568,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.549772,-51.491417
F1249,3552,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.545533,-51.670081
F1250,3602,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Pinh‹o,-25.681789,-51.698264
F1261,3593,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Pinh‹o,-25.688517,-51.696322
F1262,3595,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Pinh‹o,-25.686347,-51.703117
F1263,3570,FFSC,FFSC,FFSC,NA,Wheat,2013,Parana,Guarapuava,-25.549775,-51.490028
F1264,3571,FFSC,FFSC,FFSC,NA,Wheat,2013,Parana,Guarapuava,-25.549778,-51.489336
F1266,3624,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.209381,-51.640444
F1267,3597,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Pinh‹o,-25.686372,-51.697672
F1268,3596,F. avenaceum,FTSC,FTSC,NA,Wheat,2013,Parana,Pinh‹o,-25.686361,-51.700394
F1269,3577,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Turvo,-24.967614,-51.500114
F1270,3578,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Turvo,-24.967614,-51.500114
F1478,3329,F. subtropicale,F. subtropicale,Others,NA,Barley,2013,Parana,Guarapuava,-25.561508,-51.575744
F1479,3328,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Guarapuava,-25.562633,-51.573617
F1480,3346,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.730228,-51.843006
F1481,3345,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.730219,-51.844842
F1482,3344,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.731686,-51.840261
F1483,3400,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.555139,-52.021594
F1484,3320,FTSC11,FTSC,FTSC,NA,Barley,2013,Parana,Guarapuava,-25.56485,-51.577892
F1485,3319,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Guarapuava,-25.565969,-51.577186
F1486,3318,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.565964,-51.578608
F1487,3317,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Reserva do Iguaœ,-25.821375,-52.022514
F1488,3422,F. cortaderiae,FGSC,FGSC,3-ADON,Barley,2013,Parana,Pinh‹o,-25.707294,-51.895483
F1489,3421,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Pinh‹o,-25.707131,-51.898661
F1490,3326,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.562622,-51.576458
F1491,3325,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Guarapuava,-25.563747,-51.574333
F1492,3352,F. austroamericanum,FGSC,FGSC,3-ADON,Barley,2013,Parana,Pinh‹o,-25.728814,-51.838403
F1493,3351,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.728806,-51.840242
F1494,3350,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.728794,-51.842078
F1495,3349,F. austroamericanum,FGSC,FGSC,3-ADON,Barley,2013,Parana,Pinh‹o,-25.728783,-51.843914
F1496,3348,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Pinh‹o,-25.73025,-51.839333
F1497,3347,F. cortaderiae,FGSC,FGSC,3-ADON,Barley,2013,Parana,Pinh‹o,-25.730239,-51.841169
F1498,3316,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Reserva do Iguaœ,-25.818706,-52.024056
F1499,3315,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Reserva do Iguaœ,-25.818694,-52.025736
F1500,3314,F. armeniacum,F. armeniacum,Others,NA,Barley,2013,Parana,Reserva do Iguaœ,-25.820031,-52.023225
F1502,3323,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.563736,-51.577175
F1503,3420,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.707669,-51.901794
F1504,3307,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Reserva do Iguaœ,-25.822644,-52.026614
F1505,3306,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Reserva do Iguaœ,-25.823992,-52.022419
F1506,3305,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Reserva do Iguaœ,-25.823992,-52.022419
F1507,3304,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Reserva do Iguaœ,-25.823981,-52.0241
F1508,3433,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.689097,-51.715014
F1509,3448,F. austroamericanum,FGSC,FGSC,3-ADON,Barley,2013,Parana,Pitanga,-24.835133,-51.687297
F1510,3447,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Pinh‹o,-25.679411,-51.701369
F1511,3446,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.671019,-51.706247
F1512,3445,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Pinh‹o,-25.673292,-51.704819
F1513,3444,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.677675,-51.702842
F1514,3311,F. cortaderiae,FGSC,FGSC,NIV,Barley,2013,Parana,Reserva do Iguaœ,-25.821342,-52.024078
F1515,3310,F. avenaceum ,FTSC,FTSC,NA,Barley,2013,Parana,Reserva do Iguaœ,-25.821331,-52.025761
F1516,3309,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Reserva do Iguaœ,-25.822667,-52.023247
F1517,3308,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Reserva do Iguaœ,-25.822656,-52.024931
F1518,3359,F. austroamericanum,FGSC,FGSC,3-ADON,Barley,2013,Parana,Teixeira Soares,-25.256733,-50.318378
F1519,3360,F. cortaderiae,FGSC,FGSC,3-ADON,Barley,2013,Parana,Teixeira Soares,-25.256817,-50.315753
F1520,3442,F. avenaceum,FTSC,FTSC,NA,Barley,2013,Parana,Pinh‹o,-25.677808,-51.707731
F1521,3441,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.680094,-51.703417
F1522,3440,F. avenaceum ,FTSC,FTSC,NA,Barley,2013,Parana,Pinh‹o,-25.680081,-51.706303
F1523,3439,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.680064,-51.709189
F1524,3438,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.682336,-51.707758
F1525,3437,F. cortaderiae,FGSC,FGSC,NIV,Barley,2013,Parana,Pinh‹o,-25.682322,-51.710644
F1526,3436,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.684594,-51.709214
F1527,3435,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Pinh‹o,-25.684581,-51.712103
F1528,3407,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Cand—i,-25.551275,-52.021564
F1529,3408,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Cand—i,-25.551292,-52.019103
F1530,3409,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.550822,-52.016753
F1531,3410,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.549567,-52.025142
F1532,3411,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.549333,-52.022778
F1533,3412,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.549664,-52.019753
F1534,3413,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Cand—i,-25.546797,-52.018692
F1535,3414,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Turvo,-24.971331,-51.511439
F1536,3415,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Turvo,-24.971339,-51.509308
F1537,3419,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.711086,-51.893244
F1538,3361,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Teixeira Soares,-25.254419,-50.316683
F1539,3369,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Teixeira Soares,-25.249692,-50.308147
F1540,3367,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Teixeira Soares,-25.252047,-50.306633
F1541,3368,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Teixeira Soares,-25.249706,-50.311147
F1542,3371,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Teixeira Soares,-25.247322,-50.306661
F1543,3372,F. avenaceum ,FTSC,FTSC,NA,Barley,2013,Parana,Guarapuava,-25.549092,-51.492594
F1544,3373,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Guarapuava,-25.548097,-51.494478
F1545,3376,F. cortaderiae,FGSC,FGSC,NIV,Barley,2013,Parana,Guarapuava,-25.548111,-51.490706
F1546,3378,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.547111,-51.493844
F1547,3390,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.667911,-52.086792
F1548,3369,F. avenaceum ,FTSC,FTSC,NA,Barley,2013,Parana,Teixeira Soares,-25.249692,-50.308147
F1549,3370,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Teixeira Soares,-25.249681,-50.305417
F1550,3395,F. austroamericanum,FGSC,FGSC,3-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.666672,-52.087567
F1551,3399,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.665458,-52.085197
F1552,3380,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Guarapuava,-25.547119,-51.491331
F1553,3391,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.667922,-52.085222
F1554,3381,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Guarapuava,-25.546122,-51.494469
F1555,3382,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.546125,-51.493211
F1556,3393,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.66665,-52.090706
F1557,3383,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.546131,-51.491956
F1558,3386,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.66915,-52.086017
F1559,3387,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.667853,-52.094644
F1560,3389,F. cortaderiae,FGSC,FGSC,NIV,Barley,2013,Parana,Foz do Jord‹o,-25.6679,-52.088361
F1561,3401,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.555039,-52.017208
F1562,3392,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.666639,-52.092278
F1563,3364,FTSC11,FTSC,FTSC,NA,Barley,2013,Parana,Teixeira Soares,-25.252089,-50.315633
F1564,3356,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.725922,-51.840219
F1565,3357,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Teixeira Soares,-25.260739,-50.320669
F1566,3358,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Teixeira Soares,-25.259186,-50.317094
F1567,3417,F. cortaderiae,FGSC,FGSC,NIV,Barley,2013,Parana,Turvo,-24.971353,-51.505044
F1568,3416,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Turvo,-24.971347,-51.507178
F1569,3397,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Foz do Jord‹o,-25.665433,-52.088339
F1570,3388,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.667864,-52.093072
F1571,3398,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.665447,-52.086769
F1572,3394,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Foz do Jord‹o,-25.666661,-52.089136
F1573,3339,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Campina do Sim‹o,-25.217614,-51.865925
F1574,3340,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Campina do Sim‹o,-25.217628,-51.863606
F1575,3342,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Pinh‹o,-25.733131,-51.839353
F1576,3353,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.727347,-51.842986
F1577,3335,F. cortaderiae,FGSC,FGSC,NIV,Barley,2013,Parana,Campina do Sim‹o,-25.223078,-51.869444
F1578,3332,F. avenaceum ,FTSC,FTSC,NA,Barley,2013,Parana,Guarapuava,-25.566558,-51.577242
F1579,3331,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Guarapuava,-25.566522,-51.578286
F1580,3343,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Pinh‹o,-25.731675,-51.842097
F1581,3354,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.727358,-51.84115
F1582,3355,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.727369,-51.839311
F1583,3479,F. avenaceum ,FTSC,FTSC,NA,Barley,2013,Parana,Cand—i,-25.51775,-51.808619
F1584,3480,F. avenaceum ,FTSC,FTSC,NA,Barley,2013,Parana,Cand—i,-25.515414,-51.810083
F1585,3460,F. avenaceum ,FTSC,FTSC,NA,Barley,2013,Parana,Pitanga,-24.830061,-51.687911
F1586,3499,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.385733,-51.576042
F1587,3500,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Reserva do Iguaœ,-25.832828,-52.022247
F1588,3501,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Reserva do Iguaœ,-25.831486,-52.023086
F1589,3502,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Reserva do Iguaœ,-25.8315,-52.021383
F1590,3503,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Reserva do Iguaœ,-25.830092,-52.023769
F1591,3469,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Cand—i,-25.618225,-52.108425
F1592,3470,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.617794,-52.103247
F1594,3481,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.513078,-51.81155
F1595,3482,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.510642,-51.810522
F1596,3494,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.2044,-51.641472
F1597,3495,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.204908,-51.639369
F1598,3496,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.204772,-51.637442
F1599,3529,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Goioxim,-25.235019,-51.880539
F1600,3530,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Pinh‹o,-25.740333,-51.840911
F1601,3531,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Pinh‹o,-25.740347,-51.838242
F1602,3532,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Pinh‹o,-25.740364,-51.835575
F1603,3461,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Pitanga,-24.828014,-51.687833
F1604,3483,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.508425,-51.811517
F1605,3509,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Reserva do Iguaœ,-25.827489,-52.022203
F1606,3523,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Goioxim,-25.232525,-51.874239
F1607,3524,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Goioxim,-25.230856,-51.879425
F1608,3525,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Goioxim,-25.230881,-51.875267
F1609,3489,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.499842,-51.807514
F1610,3490,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.524067,-51.810292
F1611,3491,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.206044,-51.644639
F1612,3492,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Guarapuava,-25.206053,-51.642533
F1613,3493,F. austroamericanum,FGSC,FGSC,3-ADON,Barley,2013,Parana,Guarapuava,-25.206072,-51.638322
F1614,3533,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Pinh‹o,-25.738233,-51.842231
F1615,3511,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Reserva do Iguaœ,-25.827511,-52.018794
F1619,3449,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Reserva do Iguaœ,-24.835139,-51.686014
F1620,3451,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Pitanga,-24.834117,-51.687933
F1621,3452,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pitanga,-24.834122,-51.68665
F1622,3454,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Pitanga,-24.834133,-51.684083
F1623,3455,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Pitanga,-24.8331,-51.688569
F1624,3473,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Cand—i,-25.614842,-52.108347
F1625,3428,F. cortaderiae,FGSC,FGSC,3-ADON,Barley,2013,Parana,Pinh‹o,-25.7057,-51.878281
F1626,3513,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Reserva do Iguaœ,-25.8257,-52.024344
F1627,3423,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.70665,-51.891031
F1628,3424,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.707775,-51.884642
F1629,3425,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.707492,-51.888519
F1630,3426,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Pinh‹o,-25.705953,-51.886547
F1631,3427,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Pinh‹o,-25.706047,-51.88175
F1632,3474,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Cand—i,-25.615378,-52.104756
F1633,3475,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.6149,-52.098075
F1634,3458,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Pitanga,-24.832089,-51.687922
F1635,3459,F. graminearum,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pitanga,-24.831078,-51.687375
F1636,3518,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Goioxim,-25.234144,-51.877369
F1637,3519,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Goioxim,-25.234156,-51.875289
F1638,3520,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Goioxim,-25.232489,-51.880475
F1639,3514,F. avenaceum,FTSC,FTSC,NA,Wheat,2013,Parana,Roncador,-24.543647,-52.415892
F1640,3515,F. cortaderiae,FGSC,FGSC,NIV,Wheat,2013,Parana,Goioxim,-25.235775,-51.878419
F1641,3516,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Goioxim,-25.235789,-51.876342
F1642,3517,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Goioxim,-25.234131,-51.879447
F1644,3429,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.704372,-51.89105
F1645,3430,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Pinh‹o,-25.704456,-51.887689
F1646,3504,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Reserva do Iguaœ,-25.830158,-52.022225
F1647,3505,F. graminearum ,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Reserva do Iguaœ,-25.830169,-52.020522
F1648,3507,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Reserva do Iguaœ,-25.831486,-52.023086
F1649,3508,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Reserva do Iguaœ,-25.827475,-52.023906
F1650,3533,F. avenaceum,FTSC,FTSC,NA,Wheat,2013,Parana,Pinh‹o,-25.738233,-51.842231
F1656,3462,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Cand—i,-25.626561,-52.089458
F1657,3464,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.623208,-52.101681
F1658,3465,FFSC,FFSC,FFSC,NA,Barley,2013,Parana,Cand—i,-25.622236,-52.098481
F1659,3468,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.620125,-52.094503
F1660,3484,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.503769,-51.811486
F1661,3485,F. avenaceum,FTSC,FTSC,NA,Barley,2013,Parana,Cand—i,-25.501453,-51.809989
F1662,3486,F. meridionale,FGSC,FGSC,NIV,Barley,2013,Parana,Cand—i,-25.499117,-51.811456
F1663,3487,F. graminearum ,FGSC,FGSC,15-ADON,Barley,2013,Parana,Cand—i,-25.496797,-51.809958
F1664,3535,F. acuminatum,FTSC,FTSC,NA,Wheat,2013,Parana,Pinh‹o,-25.736069,-51.854217
F1665,3521,FTSC11,FTSC,FTSC,NA,Wheat,2013,Parana,Goioxim,-25.2325,-51.878397
F1668,3471,F. poae,F. poae,F. poae,NA,Barley,2013,Parana,Cand—i,-25.618042,-52.092214
F858,3536,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Pinh‹o,-25.736086,-51.85155
F859,3615,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Foz do Jord‹o,-25.635492,-52.096606
F860,3599,F. avenaceum,FTSC,FTSC,NA,Wheat,2013,Parana,Pinh‹o,-25.684203,-51.704467
F861,3649,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Cand—i,-25.457792,-51.864469
F862,3658,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Cand—i,-25.457792,-51.864469
F863,3629,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.206044,-51.644639
F881,3574,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.549231,-51.489681
F882,3640,F. cortaderiae,FGSC,FGSC,3-ADON,Wheat,2013,Parana,Cand—i,-25.457792,-51.864469
F883,3539,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Pinh‹o,-25.736147,-51.840881
F884,3548,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Guarapuava,-25.5496,-51.663828
F885,3641,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Cand—i,-25.457792,-51.864469
F886,3657,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Roncador,-24.5402,-52.373133
F887,3652,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Roncador,-24.5402,-52.373133
F888,3654,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Roncador,-24.5402,-52.373133
F889,3651,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Roncador,-24.5402,-52.373133
F890,3650,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Roncador,-24.5402,-52.373133
F891,3627,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Guarapuava,-25.207725,-51.639383
F892,3626,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.207708,-51.643594
F893,3632,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.206072,-51.638322
F894,3634,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.2044,-51.641472
F895,3643,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Cand—i,-25.457792,-51.864469
F897,3633,F. poae,F. poae,F. poae,NA,Wheat,2013,Parana,Guarapuava,-25.204389,-51.643578
F898,3638,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Cand—i,-25.457792,-51.864469
F899,3553,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.545547,-51.667397
F900,3554,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.545558,-51.664714
F909,3646,F. meridionale,FGSC,FGSC,NIV,Wheat,2013,Parana,Goioxim,-25.223286,-51.879958
F910,3645,F. cortaderiae,FGSC,FGSC,3-ADON,Wheat,2013,Parana,Cand—i,-25.457792,-51.864469
F911,3635,F. avenaceum,FTSC,FTSC,NA,Wheat,2013,Parana,Guarapuava,-25.204739,-51.639344
F912,3625,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2013,Parana,Guarapuava,-25.209389,-51.638342
